Name,Brand,Price,Sale Price,Category,Subcategory,Badge,Stock,Image Path,Description
Wonder Lace Bond Supreme,Ebin New York,15.99,,Hair Care,Adhesives,bestseller,50,/images/products/ebin-wonder-lace-bond-supreme.png,Professional-grade lace bond adhesive for secure wig application
Aqua Hair Wax Bright White,RedOne,9.99,,Hair Care,Styling,new,100,/images/products/redone-aqua-hair-wax-white.png,Strong hold hair wax for styling and finishing
Aqua Hair Gel Wax Black,RedOne,9.99,,Hair Care,Styling,,80,/images/products/redone-aqua-hair-gel-wax-black.png,Black-tinted gel wax for natural-looking hold
Wonder Lace Bond Active,Ebin New York,14.99,12.99,Hair Care,Adhesives,sale,60,/images/products/ebin-wonder-lace-bond-active.png,Active formula lace bond for secure hold
Wonder Lace Melt Spray,Ebin New York,12.99,,Hair Care,Finishing,,75,/images/products/ebin-wonder-lace-melt-spray.png,Invisible lace melting spray for seamless blending
Rosemary Mint Strengthening Shampoo,Mielle,12.99,,Hair Care,Shampoo,bestseller,90,,Invigorating shampoo with rosemary and mint
Honey & Ginger Edge Control,Ebin New York,8.99,6.99,Hair Care,Styling,sale,120,,Natural edge control with honey and ginger
Mousse Def Texture Foam,The Doux,14.99,,Hair Care,Styling,new,55,,Lightweight texture foam for defined curls
Brazilian Keratin Body Wave 22",SL Raw Virgin Hair,89.99,,Wigs,Lace Front,bestseller,25,,Premium Brazilian body wave hair extensions
Vitamin C Brightening Serum,SheaMoisture,24.99,,Skincare,Serums,,45,,Brightening serum with vitamin C
Ultra Black Permanent Hair Color,Dark & Lovely,7.99,5.99,Hair Color,Permanent,sale,200,,Rich long-lasting permanent black hair color
Jamaican Black Castor Oil,Sunny Isle,11.99,,Hair Care,Oils,bestseller,150,,Authentic Jamaican black castor oil for hair growth
Deep Conditioning Hair Mask,Cantu,9.99,,Hair Care,Treatments,new,70,,Intensive deep conditioning treatment mask
HD Lace Frontal Wig 20",Beauty Forever,159.99,129.99,Wigs,HD Lace,sale,15,,Ultra-thin HD lace front wig
Argan Oil Leave-In Conditioner,OGX,8.99,,Hair Care,Conditioner,,85,,Nourishing argan oil leave-in conditioner
Santal 33 Eau de Parfum,Le Labo,180.00,,Fragrance,Perfume,bestseller,20,,Iconic luxury fragrance with sandalwood notes
Hydrating Body Lotion,Sanctuary Spa,12.50,,Body Care,Lotion,,60,,Rich hydrating lotion for silky smooth skin
Matte Liquid Lipstick,Fenty Beauty,24.00,,Makeup,Lips,new,100,,Long-lasting matte liquid lipstick
Sleep & Wellness Bath Soak,Sanctuary Spa,14.99,,Wellness,Bath,,40,,Relaxing bath soak for better sleep
Tea Tree Special Shampoo,Paul Mitchell,18.99,,Hair Care,Shampoo,,65,,Invigorating tea tree shampoo for scalp health
Silk Pillowcase for Hair,Slip,89.00,,Accessories,Bedding,,30,,Premium silk pillowcase to prevent hair breakage
Edge Booster Strong Hold,Style Factor,11.49,,Hair Care,Styling,,110,,Extra strong hold edge control for sleek styles
